planner,family,scene_idx,seed,success,steps,path_length,n_contacts,n_sensed
beacon,sparse,54,54,True,97,3.729762,0,1
surp,sparse,54,54,True,97,3.784693,0,1
beacon,cluttered,54,54,True,103,3.729762,0,7
surp,cluttered,54,54,False,603,21.214002,54,4
beacon,collision_required,54,54,True,119,4.524415,0,3
surp,collision_required,54,54,True,123,4.674351,0,5
beacon,collision_shortcut,54,54,False,503,20.0,0,2
surp,collision_shortcut,54,54,True,342,12.787232,16,11
beacon,sparse,55,55,True,108,4.145413,0,2
surp,sparse,55,55,True,122,4.686742,0,3
beacon,cluttered,55,55,True,113,4.145413,0,7
surp,cluttered,55,55,True,439,16.158664,46,18
beacon,collision_required,55,55,True,109,4.145413,0,4
surp,collision_required,55,55,True,141,5.350578,0,6
beacon,collision_shortcut,55,55,True,110,4.145413,0,4
surp,collision_shortcut,55,55,True,168,6.169614,14,6
beacon,sparse,56,56,True,111,4.250287,0,2
surp,sparse,56,56,True,125,4.830052,0,3
beacon,cluttered,56,56,True,115,4.250287,0,6
surp,cluttered,56,56,False,518,18.84,90,20
beacon,collision_required,56,56,True,110,4.250287,0,1
surp,collision_required,56,56,True,125,4.820671,0,3
beacon,collision_shortcut,56,56,True,112,4.250287,0,4
surp,collision_shortcut,56,56,True,138,5.236251,0,6
beacon,sparse,57,57,False,502,20.0,0,1
surp,sparse,57,57,True,188,7.004168,15,4
beacon,cluttered,57,57,False,502,20.0,0,2
surp,cluttered,57,57,False,509,18.938667,35,17
beacon,collision_required,57,57,True,115,4.418138,0,2
surp,collision_required,57,57,True,139,5.403343,2,2
beacon,collision_shortcut,57,57,True,118,4.418138,0,5
surp,collision_shortcut,57,57,True,180,6.396471,18,9
beacon,sparse,58,58,True,98,3.79076,0,1
surp,sparse,58,58,True,107,4.128766,0,2
beacon,cluttered,58,58,True,99,3.79076,0,4
surp,cluttered,58,58,True,106,4.010831,0,5
beacon,collision_required,58,58,True,123,4.743059,0,2
surp,collision_required,58,58,True,132,5.106181,0,3
beacon,collision_shortcut,58,58,True,126,4.743059,0,5
surp,collision_shortcut,58,58,True,225,7.699166,34,7
beacon,sparse,59,59,True,155,5.922439,0,4
surp,sparse,59,59,True,206,7.960939,0,5
beacon,cluttered,59,59,False,503,20.0,0,2
surp,cluttered,59,59,True,198,7.557279,5,8
beacon,collision_required,59,59,True,153,5.922439,0,2
surp,collision_required,59,59,True,181,6.712286,12,5
beacon,collision_shortcut,59,59,True,156,5.922439,0,5
surp,collision_shortcut,59,59,True,198,7.735883,0,3
beacon,sparse,60,60,True,97,3.714943,0,2
surp,sparse,60,60,True,113,4.334648,2,3
beacon,cluttered,60,60,True,101,3.714943,0,6
surp,cluttered,60,60,False,519,18.78,61,19
beacon,collision_required,60,60,True,137,5.319527,0,2
surp,collision_required,60,60,True,208,8.006045,2,3
beacon,collision_shortcut,60,60,True,142,5.319527,0,7
surp,collision_shortcut,60,60,True,362,13.69334,37,8
beacon,sparse,61,61,True,130,5.037543,0,2
surp,sparse,61,61,True,216,8.362408,0,5
beacon,cluttered,61,61,True,134,5.037543,0,7
surp,cluttered,61,61,False,530,18.232052,89,15
beacon,collision_required,61,61,True,212,8.308893,0,3
surp,collision_required,61,61,True,213,8.161959,4,5
beacon,collision_shortcut,61,61,True,133,5.037543,0,5
surp,collision_shortcut,61,61,True,229,8.710301,2,9
beacon,sparse,62,62,True,150,5.818974,0,3
surp,sparse,62,62,True,202,7.912643,0,3
beacon,cluttered,62,62,True,156,5.818974,0,9
surp,cluttered,62,62,True,428,16.448452,12,14
beacon,collision_required,62,62,True,149,5.818974,0,1
surp,collision_required,62,62,True,181,6.927793,4,2
beacon,collision_shortcut,62,62,True,153,5.818974,0,6
surp,collision_shortcut,62,62,True,196,7.524821,0,6
beacon,sparse,63,63,True,104,3.920869,0,3
surp,sparse,63,63,True,103,3.925802,0,3
beacon,cluttered,63,63,True,107,3.920869,0,6
surp,cluttered,63,63,True,276,10.515833,2,12
beacon,collision_required,63,63,True,110,4.231464,0,2
surp,collision_required,63,63,True,128,4.893096,2,3
beacon,collision_shortcut,63,63,True,110,4.231464,0,2
surp,collision_shortcut,63,63,True,176,6.585231,8,4
beacon,sparse,64,64,True,95,3.627978,0,2
surp,sparse,64,64,True,106,4.13751,2,1
beacon,cluttered,64,64,True,96,3.627978,0,3
surp,cluttered,64,64,True,109,4.193557,2,3
beacon,collision_required,64,64,True,112,4.311865,0,2
surp,collision_required,64,64,True,126,4.846167,2,3
beacon,collision_shortcut,64,64,True,113,4.311865,0,3
surp,collision_shortcut,64,64,True,142,5.294048,13,5
beacon,sparse,65,65,True,106,4.056362,0,2
surp,sparse,65,65,True,128,4.904587,6,2
beacon,cluttered,65,65,True,111,4.056362,0,7
surp,cluttered,65,65,False,520,18.07819,71,14
beacon,collision_required,65,65,True,106,4.056362,0,2
surp,collision_required,65,65,True,289,11.042709,12,5
beacon,collision_shortcut,65,65,True,106,4.056362,0,2
surp,collision_shortcut,65,65,True,199,7.234446,16,3
beacon,sparse,66,66,True,104,4.024122,0,2
surp,sparse,66,66,True,133,4.906969,6,4
beacon,cluttered,66,66,True,108,4.08125,0,4
surp,cluttered,66,66,True,128,4.635069,8,7
